Source: https://www.muckrock.com/foi/united-states-of-america-10/total-number-of-state-department-cables-2nd-request-6037/#comm-193264

70s
Category,1973,1974,1975,1976,1977,1978,1979
Total Yearly,"225,840","467,881","541,337","569,391","617,816","655,808","732,206"
Unclassified,"124,805","295,707","350,669","400,484","418,367","442,462","518,422"
Confidential,"42,101","68,068","75,950","78,689","83,271","92,398","96,967"
Secret,"12,874","20,184","21,197","21,909","21,308","22,284","23,585"
Limited Official Use,"46,059","83,922","93,466","95,306","94,686","98,664","93,231"
NOFORN Total,63,178,795,793,650,552
Unclass/NOFORN,2,2,17,54
Confid/NOFORN,305,303,194,167,45,120
Secret/NOFORN,488,483,452,382
LOU/NOFORN,1,4,2,5,2,3

80s
Category,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Total Yearly,"739,517","724,196","767,645","805,488","838,643","918,918","953,338","976,880","1,028,627","1,052,463"
Unclassified,"525,643","509,186","531,713","561,382","589,904","664,071","679,966","702,877","744,976","774,646"
Confidential,"105,512","105,500","117,833","122,416","125,483","128,079","36,812","126,829","130,063","128,808"
Secret,"23,539","23,884","30,594","33,860","34,608","34,221","133,989","42,215","40,679","35,391"
Limited Official Use,"84,823","85,626","87,505","87,830","88,648","92,547","102,568","104,959","112,909","113,618"
NOFORN Total,351,400,436,334,406,619,"2,464","2,943","3,213","3,032"
Unclass/NOFORN,1,1,2,3,5,3,3,1
Confid/NOFORN,78,85,101,68,67,228,"1,178","1,213","1,478","1,310"
Secret/NOFORN,272,314,333,264,336,385,"1,271","1,578","1,488","1,430"
LOU/NOFORN,1,1,1,1,1,3,10,149,244,291

90s
Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Total Yearly,"1,103,442","1,072,420","1,064,422","948,156","1,023,466","887,512","837,648","747,212","740,933","724,568"
Unclassified,"806,419","784,808","788,868","764,094","723,537","701,377","718,305","634,983","618,714","611,526"
Confidential,"137,136","131,647","131,921","127,877","113,940","109,414","102,375","93,828","97,113","87,236"
Secret,"43,421","36,550","29,101","30,551","23,595","23,788","16,904","18,380","25,095","25,801"
Limited Official Use,"116,466","119,415","114,531","100,944","87,083","52,933",61,21,11,5
NOFORN Total,"3,507","4,046","5,024","4,349","3,151","5,458","10,103","9,020","10,817","12,354"
Unclass/NOFORN,6,4,12,11,15,"2,364","7,261","5,144","4,509","3,977"
Confid/NOFORN,"1,523","1,515","1,792","1,547","1,358","1,218","1,297","1,115","1,177","1,046"
Secret/NOFORN,"1,616","2,095","2,606","2,364","1,526","1,686","1,545","2,761","5,131","7,331"
LOU/NOFORN,362,432,614,427,252,190
