date,UNCLASSIFIED_text,UNCLASSIFIED_error,UNCLASSIFIED_blank,LOU_text,LOU_error,LOU_blank,CONFIDENTIAL_text,CONFIDENTIAL_error,CONFIDENTIAL_blank,SECRET_text,SECRET_error,SECRET_blank,OTHER_text,OTHER_error,OTHER_blank,total,total_missing,missing_pct
1973-01-01,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,5,2,40.0
1973-01-02,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,10,1,10.0
1973-01-03,7,0,0,1,0,0,1,0,0,0,0,1,0,0,0,10,1,10.0
1973-01-04,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,1,33.33
1973-01-05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
1973-01-07,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,8,0,0.0
1973-01-08,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0
1973-01-09,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0,6,1,16.67
1973-01-10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0.0
1973-01-11,1,3,0,0,1,0,1,0,0,0,2,0,0,0,0,8,6,75.0
1973-01-12,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,100.0
1973-01-13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,100.0
1973-01-14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,100.0
1973-01-15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,100.0
1973-01-16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,50.0
1973-01-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
1973-01-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
1973-01-21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0
1973-01-23,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0.0
1973-01-27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0
1973-01-29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
1973-01-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,100.0
1973-02-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0.0
1973-02-05,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.0
1973-02-06,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0.0
1973-02-08,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0
1973-02-09,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,50.0
1973-02-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
1973-02-13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,50.0
1973-02-19,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,66.67
1973-02-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
1973-02-24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
1973-02-26,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0.0
1973-03-01,5,0,0,4,0,0,1,0,0,2,0,0,0,0,0,12,0,0.0
1973-03-02,6,0,0,2,0,0,6,0,0,0,0,0,0,0,0,14,0,0.0
1973-03-03,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,7,0,0.0
1973-03-04,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0.0
