month,UNCLASSIFIED_text,UNCLASSIFIED_error,UNCLASSIFIED_blank,LOU_text,LOU_error,LOU_blank,CONFIDENTIAL_text,CONFIDENTIAL_error,CONFIDENTIAL_blank,SECRET_text,SECRET_error,SECRET_blank,OTHER_text,OTHER_error,OTHER_blank,total,total_missing
1973-01,28,5,0,14,2,0,9,4,0,1,7,2,0,0,0,72,20
1973-02,5,1,0,3,0,0,8,1,0,1,1,1,0,0,0,21,4
1973-03,3454,0,1,2806,0,1,2955,0,0,571,1,0,12,0,0,9801,3
1973-04,4174,1,2,3357,1,1,3937,3,0,796,0,0,9,0,0,12281,8
1973-05,3587,0,0,3035,0,0,3499,5,0,657,0,0,12,0,0,10795,5
1973-06,2548,212,0,2138,67,0,2146,55,0,430,6,1,10,0,0,7613,341
1973-07,7670,1755,29,3596,820,25,2748,846,32,481,492,36,0,0,0,18530,4035
1973-08,9234,629,39,4599,258,36,3415,422,47,606,367,42,8,0,0,19702,1840
1973-09,8437,515,11,4373,268,3,3576,453,25,623,409,18,7,0,0,18718,1702
1973-10,7906,808,23,4439,440,18,3753,661,18,1212,916,47,5,0,0,20246,2931
1973-11,8042,896,43,4721,530,51,4028,831,54,1007,714,46,8,0,0,20971,3165
1973-12,6859,432,54,3891,238,44,3271,385,37,719,574,21,10,0,0,16535,1785
1974-01,10062,241,27,4998,86,12,3796,272,10,855,503,14,7,0,0,20883,1165
1974-02,9475,151,11,5097,87,7,4260,326,12,917,516,7,12,0,0,20878,1117
1974-03,11936,121,8,5905,93,2,4404,276,12,930,612,10,11,0,0,24320,1134
1974-04,12625,150,11,5785,70,5,4424,275,4,751,555,9,3,0,0,24667,1079
1974-05,13010,149,32,5658,81,13,4918,390,15,1202,755,13,4,0,0,26240,1448
1974-06,12336,137,15,5337,70,3,4524,397,11,926,664,6,1,0,0,24427,1303
1974-07,13189,125,15,5379,48,3,4987,239,14,1041,555,3,0,0,0,25598,1002
1974-08,13356,163,9,5477,55,6,4085,201,4,700,500,6,0,0,0,24562,944
1974-09,12303,140,8,5998,76,3,4584,233,6,749,413,9,1,0,0,24523,888
1974-10,12181,575,6,6288,238,7,5504,469,9,886,599,20,1,0,0,26783,1923
1974-11,11688,124,12,6181,74,5,5763,403,15,1103,693,6,0,0,0,26067,1332
1974-12,10333,79,14,5223,45,0,3950,199,3,533,421,7,0,0,0,20807,768
1975-01,12620,127,102,6003,52,66,4760,236,73,763,564,41,9,0,0,25416,1261
1975-02,11547,111,47,5929,72,70,5196,399,75,851,658,59,7,0,0,25021,1491
1975-03,13080,133,45,6471,95,38,5666,516,49,1094,1030,46,9,0,0,28272,1952
1975-04,14519,202,54,6686,74,37,5740,268,47,1115,459,52,8,0,0,29261,1193
1975-05,14307,156,100,6803,54,82,5505,263,69,984,191,39,5,0,0,28558,954
1975-06,14706,135,88,6117,76,68,4673,154,45,818,110,26,2,0,0,27018,702
1975-07,14537,126,63,6279,103,45,5099,190,33,1149,148,20,2,0,0,27794,728
1975-08,14575,121,47,6010,88,36,5092,179,36,1065,225,44,1,0,0,27519,776
1975-09,15086,167,28,6246,122,24,5158,223,37,1316,224,95,7,0,0,28733,920
1975-10,15706,144,49,6528,124,43,5596,244,38,1411,157,22,3,0,0,30065,821
1975-11,13004,1156,60,5744,584,55,4914,629,25,952,282,36,3,0,0,27444,2827
1975-12,6231,8248,55,2732,3523,49,2059,3441,33,616,1046,27,0,0,0,28060,16422
1976-01,14012,372,36,6086,130,25,4855,80,26,1381,48,51,0,0,0,27102,768
1976-02,14667,560,42,6315,231,21,5109,204,32,1134,103,42,1,0,0,28461,1235
1976-03,9739,9217,42,3908,3477,22,3055,2848,25,567,945,37,0,0,0,33882,16613
1976-04,15414,2014,52,7121,894,63,5067,565,36,1212,259,31,0,0,0,32728,3914
1976-05,13898,3246,55,5511,1074,45,4491,946,40,963,282,39,0,0,0,30590,5727
1976-06,39,18493,60,18,6744,29,20,5948,27,2,1503,39,0,0,0,32922,32843
1976-07,13681,1341,98,5744,506,60,4763,430,58,1054,166,40,1,0,0,27942,2699
1976-08,14638,58,63,5560,8,33,5184,10,55,1088,83,33,0,0,0,26813,343
1976-09,15563,91,35,6450,7,20,5904,13,49,1294,20,47,0,0,0,29493,282
1976-10,14494,82,50,5916,2,16,4809,9,46,851,12,37,0,0,0,26324,254
1976-11,14575,78,11,6831,6,6,5282,11,15,1020,7,29,0,0,0,27871,163
1976-12,12601,81,56,5293,7,23,4261,20,34,963,11,37,1,0,0,23388,269
1977-01,10287,1,0,5004,1,0,4462,0,0,651,1,0,1,0,0,20408,3
1977-02,9918,3,0,4909,1,0,4476,0,0,807,1,0,0,0,0,20115,5
1977-03,13308,2,0,6588,3,0,5990,2,0,850,2,0,0,0,0,26745,9
1977-04,12041,1,0,6034,1,0,5608,2,0,902,2,0,2,0,0,24593,6
