date,actual_cables,cables_with_counter,counter_min,counter_max,implied_volume_naive_span,ratio_span_over_actual
1973-01-02,6,6,80,130687,130608,21768.0
1973-01-03,9,9,6937,17759,10823,1202.56
1973-01-04,2,2,14696,24450,9755,4877.5
1973-01-07,8,8,30709,94329,63621,7952.62
1973-01-08,3,3,40095,40835,741,247.0
1973-01-09,4,4,48935,54819,5885,1471.25
1973-01-10,1,1,61320,61320,1,1.0
1973-01-11,2,2,77528,80461,2934,1467.0
1973-01-16,1,1,119748,119748,1,1.0
1973-01-17,1,1,130664,130664,1,1.0
1973-01-21,2,2,33601,36745,3145,1572.5
1973-01-23,2,2,63967,66070,2104,1052.0
1973-01-29,1,1,125627,125627,1,1.0
1973-02-01,2,2,33101,35688,2588,1294.0
1973-02-05,2,2,65757,70480,4724,2362.0
1973-02-08,2,2,104573,203337,98765,49382.5
1973-02-09,1,1,32846,32846,1,1.0
1973-02-10,1,1,578,578,1,1.0
1973-02-13,1,1,25168,25168,1,1.0
1973-02-19,1,1,126087,126087,1,1.0
1973-02-21,1,1,117508,117508,1,1.0
1973-02-24,1,1,23678,23678,1,1.0
1973-02-26,2,2,38980,53173,14194,7097.0
1973-03-01,4,4,79336,86336,7001,1750.25
1973-03-04,2,2,107885,112254,4370,2185.0
1973-03-05,2,2,119352,122701,3350,1675.0
1973-03-06,1,1,55518,55518,1,1.0
1973-03-07,2,2,24104,24272,169,84.5
1973-03-08,4,4,34089,44797,10709,2677.25
1973-03-09,1,1,50398,50398,1,1.0
1973-03-11,1,1,60056,60056,1,1.0
1973-03-12,1,1,73686,73686,1,1.0
1973-03-14,3,3,94266,98715,4450,1483.33
1973-03-18,2,2,13948,127441,113494,56747.0
1973-03-19,1,1,124990,124990,1,1.0
1973-03-30,1,1,27078,27078,1,1.0
1973-04-08,1,1,130778,130778,1,1.0
1973-04-09,1,1,11146,11146,1,1.0
1973-04-12,1,1,105741,105741,1,1.0
1973-04-13,1,1,64645,64645,1,1.0
1973-04-22,1,1,12822,12822,1,1.0
1973-05-09,1,1,9525,9525,1,1.0
1973-05-11,2,2,94982,113234,18253,9126.5
1973-05-22,1,1,213,213,1,1.0
1973-05-23,1,1,75192,75192,1,1.0
1973-06-01,1,1,99953,99953,1,1.0
1973-06-02,9,9,102644,109297,6654,739.33
1973-06-03,1,1,125683,125683,1,1.0
1973-06-04,1,1,5067,5067,1,1.0
1973-06-06,1,1,53865,53865,1,1.0
1973-06-07,1,1,92915,92915,1,1.0
1973-06-13,2,2,17720,20866,3147,1573.5
1973-06-25,4,4,42282,54172,11891,2972.75
1973-06-27,1,1,86862,86862,1,1.0
1973-06-28,2,2,105249,116303,11055,5527.5
1973-06-29,171,171,86080,110306,24227,141.68
1973-06-30,97,97,91546,106491,14946,154.08
1973-07-01,39,39,99185,114306,15122,387.74
1973-07-02,566,566,101825,122394,20570,36.34
1973-07-03,139,139,313,130816,130504,938.88
1973-07-04,3,3,622,9206,8585,2861.67
1973-07-05,235,235,7,131064,131058,557.69
1973-07-06,8,8,19542,102482,82941,10367.62
1973-07-07,8,8,23603,127215,103613,12951.62
1973-07-08,4,4,33854,49877,16024,4006.0
1973-07-09,411,411,32213,66810,34598,84.18
1973-07-10,809,809,6004,129217,123214,152.3
1973-07-11,746,746,46654,106177,59524,79.79
1973-07-12,686,686,58056,105889,47834,69.73
1973-07-13,806,806,41433,127169,85737,106.37
1973-07-14,177,177,25402,128617,103216,583.14
1973-07-15,26,26,86391,127263,40873,1572.04
1973-07-16,639,639,7005,128737,121733,190.51
1973-07-17,675,675,4427,125780,121354,179.78
1973-07-18,775,775,103,130917,130815,168.79
1973-07-19,745,745,33,131067,131035,175.89
1973-07-20,838,838,1980,129154,127175,151.76
1973-07-21,172,172,9413,108107,98695,573.81
1973-07-22,23,23,23133,24997,1865,81.09
1973-07-23,646,646,26243,93406,67164,103.97
1973-07-24,626,626,28062,80390,52329,83.59
1973-07-25,733,733,44896,93763,48868,66.67
1973-07-26,358,358,27596,119191,91596,255.85
1973-07-27,667,667,37239,207141,169903,254.73
1973-07-28,144,144,68396,117652,49257,342.06
1973-07-29,29,29,1298,87369,86072,2968.0
1973-07-30,597,597,8430,116937,108508,181.76
1973-07-31,699,699,94593,130134,35542,50.85
1973-08-01,741,741,888,130724,129837,175.22
1973-08-02,764,764,640,130752,130113,170.3
1973-08-03,916,916,35,131069,131035,143.05
1973-08-04,175,175,317,129107,128791,735.95
1973-08-05,26,26,7603,42592,34990,1345.77
1973-08-06,592,592,12578,64735,52158,88.1
1973-08-07,658,658,14306,63611,49306,74.93
1973-08-08,732,732,17784,71213,53430,72.99
1973-08-09,743,743,26249,67048,40800,54.91
1973-08-10,834,834,49904,114962,65059,78.01
1973-08-11,156,156,60677,75620,14944,95.79
1973-08-12,32,32,66524,92556,26033,813.53
1973-08-13,679,679,69013,90485,21473,31.62
1973-08-14,686,686,75126,109947,34822,50.76
1973-08-15,617,617,45418,109450,64033,103.78
1973-08-16,663,663,5560,120474,114915,173.33
1973-08-17,823,823,436,130201,129766,157.67
1973-08-18,141,141,116,127103,126988,900.62
1973-08-19,19,19,29255,126781,97527,5133.0
1973-08-20,728,728,28,131068,131041,180.0
1973-08-21,685,685,4713,114622,109910,160.45
1973-08-22,652,652,15480,43234,27755,42.57
1973-08-23,737,737,26522,104394,77873,105.66
1973-08-24,843,843,17866,73633,55768,66.15
1973-08-25,133,133,50243,103496,53254,400.41
1973-08-26,33,33,57017,101287,44271,1341.55
1973-08-27,663,663,46155,102809,56655,85.45
1973-08-28,666,666,45806,114018,68213,102.42
1973-08-29,694,694,21328,117098,95771,138.0
1973-08-30,769,769,90130,131031,40902,53.19
1973-08-31,973,973,378,127809,127432,130.97
1973-09-01,194,194,20759,127884,107126,552.2
1973-09-02,37,37,20719,128712,107994,2918.76
1973-09-03,78,78,139,130929,130791,1676.81
1973-09-04,666,666,1,131067,131067,196.8
1973-09-05,740,740,5307,55349,50043,67.63
1973-09-06,654,654,8761,58092,49332,75.43
1973-09-07,814,814,19724,66873,47150,57.92
1973-09-08,120,120,28993,54313,25321,211.01
1973-09-09,36,36,45106,81672,36567,1015.75
1973-09-10,699,699,45332,122918,77587,111.0
1973-09-11,836,836,55716,112800,57085,68.28
1973-09-12,796,796,2355,112847,110493,138.81
1973-09-13,832,832,5117,103497,98381,118.25
