hour_utc,accounted_state,accounted_overseas,unaccounted,total,unaccounted_share
0,4455,1311,327259.5,333025.5,0.9827
1,2924,1339,157276.0,161539.0,0.9736
2,1305,1446,130096.5,132847.5,0.9793
3,754,1917,155356.9,158027.9,0.9831
4,473,2121,185290.0,187884.0,0.9862
5,309,2811,207113.9,210233.9,0.9852
6,241,3692,253038.5,256971.5,0.9847
7,328,5173,290434.7,295935.7,0.9814
8,206,7645,365334.5,373185.5,0.979
9,152,8591,487793.8,496536.8,0.9824
10,193,8298,460344.4,468835.4,0.9819
11,193,8419,453130.3,461742.3,0.9813
12,352,7765,475512.9,483629.9,0.9832
13,981,7561,460373.5,468915.5,0.9818
14,1966,9067,495873.0,506906.0,0.9782
15,2580,9128,427919.4,439627.4,0.9734
16,2487,7281,391179.4,400947.4,0.9756
17,2275,6012,365414.6,373701.6,0.9778
18,2593,3765,277695.7,284053.7,0.9776
19,3558,2850,252673.6,259081.6,0.9753
20,4549,3119,265763.2,273431.2,0.972
21,6480,2874,245336.0,254690.0,0.9633
22,6161,1907,206730.1,214798.1,0.9624
23,4170,1456,95271.9,100897.9,0.9442
